time,zip,county,n_ev,n_bev,n_phev,m_ev,m_bev,m_phev
2017-01-31,99006,Spokane,10,3,7,43,24,20
2017-01-31,99008,Lincoln,1,,1,43,24,20
2017-01-31,99009,Spokane,2,1,1,43,24,20
2017-01-31,99011,Spokane,,,,43,24,20
2017-01-31,99012,Spokane,,,,43,24,20
2017-01-31,99013,Stevens,3,1,2,43,24,20
2017-01-31,99016,Spokane,11,4,7,43,24,20
2017-01-31,99017,Whitman,,,,43,24,20
2017-01-31,99018,Spokane,,,,43,24,20
2017-01-31,99019,Spokane,12,3,9,43,24,20
2017-01-31,99020,Spokane,,,,43,24,20
2017-01-31,99021,Spokane,9,3,6,43,24,20
2017-01-31,99022,Spokane,11,4,7,43,24,20
2017-01-31,99023,Spokane,3,1,2,43,24,20
2017-01-31,99025,Spokane,6,3,3,43,24,20
2017-01-31,99026,Stevens,17,10,7,43,24,20
2017-01-31,99027,Spokane,5,4,1,43,24,20
2017-01-31,99029,Lincoln,,,,43,24,20
2017-01-31,99030,Spokane,1,,1,43,24,20
2017-01-31,99031,Spokane,1,1,,43,24,20
2017-01-31,99032,Lincoln,,,,43,24,20
2017-01-31,99033,Whitman,,,,43,24,20
2017-01-31,99034,Stevens,,,,43,24,20
2017-01-31,99036,Spokane,,,,43,24,20
2017-01-31,99037,Spokane,10,5,5,43,24,20
2017-01-31,99039,Spokane,,,,43,24,20
2017-01-31,99040,Stevens,,,,43,24,20
2017-01-31,99101,Stevens,,,,43,24,20
2017-01-31,99102,Whitman,1,,1,43,24,20
2017-01-31,99103,Lincoln,,,,43,24,20
2017-01-31,99105,Adams,,,,43,24,20
2017-01-31,99109,Stevens,1,,1,43,24,20
2017-01-31,99110,Stevens,,,,43,24,20
2017-01-31,99111,Whitman,,,,43,24,20
2017-01-31,99113,Whitman,,,,43,24,20
2017-01-31,99114,Stevens,9,2,7,43,24,20
2017-01-31,99115,Grant,,,,43,24,20
2017-01-31,99116,Douglas,,,,43,24,20
2017-01-31,99117,Lincoln,,,,43,24,20
2017-01-31,99118,Ferry,,,,43,24,20
2017-01-31,99119,Pend Oreille,,,,43,24,20
2017-01-31,99121,Ferry,,,,43,24,20
2017-01-31,99122,Lincoln,1,1,,43,24,20
2017-01-31,99123,Grant,,,,43,24,20
2017-01-31,99124,Okanogan,,,,43,24,20
2017-01-31,99125,Whitman,,,,43,24,20
2017-01-31,99126,Stevens,2,,2,43,24,20
2017-01-31,99128,Whitman,,,,43,24,20
