census_tract_2020,census_tract_2010
53053061501,53053061500.0
53053061502,53053061500.0
53053061601,53053061601.0
53053061602,53053061602.0
53053061700,53053061700.0
53053061800,53053061800.0
53053061900,53053061900.0
53053062000,53053062000.0
53053062300,53053062300.0
53053062400,53053062400.0
53053062501,53053062500.0
53053062502,53053062500.0
53053062600,53053062600.0
53053062801,53053062801.0
53053062802,53053062802.0
53053062901,53053062900.0
53053062902,53053062900.0
53053063000,53053063000.0
53053063100,53053063100.0
53053063200,53053063200.0
53053063301,53053063300.0
53053063302,53053063300.0
53053063401,53053063400.0
53053063402,53053063400.0
53053063501,53053063501.0
53053063502,53053063502.0
53053070100,53053070100.0
53053070204,53053070204.0
53053070205,53053070205.0
53053070206,53053070206.0
53053070207,53053070207.0
53053070208,53053070203.0
53053070209,53053070203.0
53053070307,53053070307.0
53053070308,53053070308.0
53053070309,53053070309.0
53053070310,53053070310.0
53053070311,53053070311.0
53053070312,53053070312.0
53053070313,53053070313.0
53053070314,53053070314.0
53053070315,53053070315.0
53053070316,53053070316.0
53053070401,53053070401.0
53053070403,53053070403.0
53053070404,53053070404.0
53053070703,53053070703.0
53053071100,53053071100.0
53053071205,53053071205.0
53053071206,53053071206.0
53053071207,53053071207.0
53053071209,53053071209.0
53053071210,53053071210.0
53053071211,53053071208.0
53053071212,53053071208.0
53053071304,53053071304.0
53053071305,53053071305.0
53053071306,53053071306.0
53053071307,53053071307.0
53053071309,53053071309.0
53053071310,53053071310.0
53053071403,53053071403.0
53053071408,53053071408.0
53053071409,53053071409.0
53053071411,53053071411.0
53053071412,53053071406.0
53053071413,53053071406.0
53053071414,53053071407.0
53053071415,53053071407.0
53053071416,53053071410.0
53053071417,53053071410.0
53053071503,53053071503.0
53053071504,53053071504.0
53053071505,53053071505.0
53053071506,53053071506.0
53053071601,53053071601.0
53053071603,53053071602.0
53053071604,53053071602.0
53053071703,53053071703.0
53053071704,53053071704.0
53053071705,53053071705.0
53053071706,53053071706.0
53053071707,53053071707.0
53053071803,53053071803.0
53053071805,53053071805.0
53053071806,53053071806.0
53053071807,53053071807.0
53053071808,53053071808.0
53053071901,53053071901.0
53053071902,53053071902.0
53053072000,53053072000.0
53053072105,53053072105.0
53053072106,53053072106.0
53053072107,53053072107.0
53053072108,53053072108.0
53053072109,53053072109.0
53053072111,53053072111.0
53053072112,53053072112.0
53053072305,53053072305.0
53053072307,53053072307.0
53053072309,53053072309.0
53053072310,53053072310.0
53053072311,53053072311.0
53053072312,53053072312.0
53053072313,53053072313.0
53053072314,53053072308.0
53053072315,53053072308.0
53053072405,53053072405.0
53053072406,53053072406.0
53053072407,53053072407.0
53053072408,53053072408.0
53053072409,53053072409.0
53053072410,53053072410.0
53053072503,53053072503.0
53053072504,53053072504.0
53053072506,53053072506.0
53053072507,53053072507.0
53053072508,53053072505.0
53053072509,53053072505.0
53053072601,53053072601.0
53053072602,53053072602.0
53053072603,53053072603.0
53053072801,53053072800.0
53053072802,53053072800.0
53053072901,53053072901.0
